City,Location,Layer,synonyms
Ayodhya,Birla Shree Sita Ram Mandir,Other temples,"Byrla Shraa Syta Ram Mandyr, BirlaShreeSitaRamMandir, BSSRM"
Ayodhya,Guptar Ghat,Other temples,"GuptarGhat, GG, Goptar Ghat"
Bangalore,Vidhana Soudha,Iconic structures,"Vydhana Soodha, VidhanaSoudha, VS"
Bangalore,Tipu Sultan's Summer Palace,Iconic structures,"TipuSultan'sSummerPalace, TSSP, Typo Soltan's Sommar Palaca"
Bangalore,Bengaluru Palace,Iconic structures,"Bangaloro Palaca, BP, BengaluruPalace"
Bangalore,Bengaluru Fort,Iconic structures,"BF, BengaluruFort, Bangaloro Fort"
Bangalore,Freedom Park,Iconic structures,"Freedom Park (central jail park), Fraadom Park, FreedomPark, FP"
Bangalore,Indian Music Experience Museum,Art and museum,"IndianMusicExperienceMuseum, IMEM, yndyan Mosyc axparyanca Mosaom"
Bangalore,HAL Heritage Centre and Aerospace Museum,Art and museum,"HaL Harytaga Cantra and aarospaca Mosaom, HALHeritageCentreandAerospaceMuseum, HHCaAM"
Bangalore,Visvesvaraya Industrial & Technological Museum,Art and museum,"VisvesvarayaIndustrial&TechnologicalMuseum, Vysvasvaraya yndostryal & Tachnologycal Mosaom, VI&TM"
Bangalore,Jawaharlal Nehru Planetarium,Art and museum,"JawaharlalNehruPlanetarium, JNP, Jawaharlal Nahro Planataryom"
Bangalore,National Military Memorial Park,Art and museum,"NMMP, NationalMilitaryMemorialPark, Natyonal Mylytary Mamoryal Park"
Bangalore,Rangoli Metro Art Center,Art and museum,"Rangoly Matro art Cantar, RMAC, RangoliMetroArtCenter"
Bangalore,National Gallery of Modern Art,Art and museum,"Natyonal Gallary of Modarn art, NGoMA, NationalGalleryofModernArt"
Bangalore,Karnataka Chitrakala Parishath,Art and museum,"KCP, KarnatakaChitrakalaParishath, Karnataka Chytrakala Paryshath"
Bangalore,Janapada Loka (Karnataka Folk Museum),Art and museum,"JL(FM, JanapadaLoka(KarnatakaFolkMuseum), Janapada Loka (Karnataka Folk Mosaom)"
Bangalore,Jollywood Studios and Adventures (Film City),Art and museum,"JSaA(C, JollywoodStudiosandAdventures(FilmCity), Jollywood Stodyos and advantoras (Fylm Cyty)"
Bangalore,Pyramid Valley International,Spiritual sites,"PyramidValleyInternational, Pyramyd Vallay yntarnatyonal, PVI"
Bangalore,Shrungagiri Sri Shanmukha Swami Gudi,Spiritual sites,"Shrongagyry Sry Shanmokha Swamy Gody, ShrungagiriSriShanmukhaSwamiGudi, SSSSG"
Bangalore,"St. Mary's Basilica, Bengaluru",Spiritual sites,"SMBB, St.Mary'sBasilica,Bengaluru, St. Mary's Basylyca, Bangaloro"
Bangalore,ISKCON temple Bangalore,Spiritual sites,"ISKCONtempleBangalore, ItB, ySKCoN tampla Bangalora"
Bangalore,ISKCON Vaikuntha Hill,Spiritual sites,"ISKCONVaikunthaHill, ySKCoN Vaykontha Hyll, IVH"
Bangalore,SRI BIG BULL TEMPLE (Shri Doddabasavanna Temple),Spiritual sites,"SRy ByG BoLL TaMPLa (Shry Doddabasavanna Tampla), SRIBIGBULLTEMPLE(ShriDoddabasavannaTemple), SBBT(DT, Shri Doddabasavanna (SRI BIG BULL TEMPLE)"
Bangalore,Jamia Masjid Bengaluru City,Spiritual sites,"JMBC, Jamya Masjyd Bangaloro Cyty, JamiaMasjidBengaluruCity"
Bangalore,Gurudwara by Ulsoor lake,Spiritual sites,"GurudwarabyUlsoorlake, Gorodwara by olsoor laka, GbUl"
Bangalore,Sri Banashankari Temple,Spiritual sites,"SriBanashankariTemple, SBT, Sry Banashankary Tampla"
Bangalore,Cave temple Shri Gavi Gangadhareshwara Swamy Devasthana,Spiritual sites,"Cava tampla Shry Gavy Gangadharashwara Swamy Davasthana, CavetempleShriGaviGangadhareshwaraSwamyDevasthana, CtSGGSD"
Bangalore,Ragigudda Shri Prasanna Anjaneyaswami Temple,Spiritual sites,"RagiguddaShriPrasannaAnjaneyaswamiTemple, RSPAT, Ragygodda Shry Prasanna anjanayaswamy Tampla"
Bangalore,Shri Dharmarāya Swamy Temple,Spiritual sites,"ShriDharmarāyaSwamyTemple, Shry Dharmarāya Swamy Tampla, Shri Dharmaraya Swamy Temple, SDST"
Bangalore,Shree Parshwa Susheel Dhaam Shwetamber Jain Temple,Spiritual sites,"Shraa Parshwa Soshaal Dhaam Shwatambar Jayn Tampla, ShreeParshwaSusheelDhaamShwetamberJainTemple, SPSDSJT"
Bangalore,Nandi Hills,Nature and park,"Nandy Hylls, NH, NandiHills"
Bangalore,Hebbala Lake Park,Nature and park,"Habbala Laka Park, HebbalaLakePark, HLP"
Bangalore,Sankey Tank,Nature and park,"SankeyTank, ST, Sankay Tank"
Bangalore,Ulsoor Lake,Nature and park,"olsoor Laka, UL, UlsoorLake"
Bangalore,BTM Madiwala lake,Nature and park,"BTM Madywala laka, BTMMadiwalalake, BMl"
Bangalore,Jaya Prakash Narayana Biodiversity Park,Nature and park,"JayaPrakashNarayanaBiodiversityPark, JPNBP, Jaya Prakash Narayana Byodyvarsyty Park"
Bangalore,Cubbon Park,Nature and park,"CubbonPark, CP, Cobbon Park"
Bangalore,Lalbagh Botanical Garden,Nature and park,"LBG, Lalbagh Botanycal Gardan, LalbaghBotanicalGarden"
Bangalore,Bannerughatta Biological Park,Nature and park,"BannerughattaBiologicalPark, BBP, Bannaroghatta Byologycal Park"
Bangalore,Muthyala Maduvu Falls (Pearl Valley),Nature and park,"MuthyalaMaduvuFalls(PearlValley), MMF(V, Mothyala Madovo Falls (Paarl Vallay)"
Bangalore,Shivagange,Nature and park,Shyvaganga
Bangalore,Dodda Aalada Mara,Nature and park,"DoddaAaladaMara, DAM"
Bangalore,Savanadurga Trek,Nature and park,"SavanadurgaTrek, ST, Savanadorga Trak"
Bangalore,Manchanabele Dam,Nature and park,"Manchanabala Dam, ManchanabeleDam, MD"
Bangalore,Wonderla Amusement Park,Nature and park,"Wondarla amosamant Park, WonderlaAmusementPark, WAP"
Bangalore,Krishnarajapuram Railway station,Transport,"KrishnarajapuramRailwaystation, KRs, Kryshnarajaporam Raylway statyon"
Bangalore,KSR Bengaluru City Junction (Bangalore),Transport,"KSR Bangaloro Cyty Jonctyon (Bangalora), KSR Bengaluru City Junction, KBCJ(, KSRBengaluruCityJunction(Bangalore)"
Bangalore,Kempegowda International Airport Bengaluru,Transport,"KIAB, Kampagowda yntarnatyonal ayrport Bangaloro, KempegowdaInternationalAirportBengaluru, Airport, Kempegowda International Bengaluru"
Bangalore,Majestic Bus Stand,Transport,"MajesticBusStand, Majastyc Bos Stand, MBS"
Bangalore,Mysore Road Satellite Bus Station,Transport,"Mysora Road Satallyta Bos Statyon, MysoreRoadSatelliteBusStation, MRSBS"
Bangalore,"KSRTC Bus Stand , Shanthinagara",Transport,"KBS,S, KSRTCBusStand,Shanthinagara, KSRTC Bos Stand , Shanthynagara"
Chandigarh,Chandigarh Airport (Shaheed Bhagat Singh International),Transport,"ChandigarhAirport(ShaheedBhagatSinghInternational), CA(BSI, Chandygarh ayrport (Shahaad Bhagat Syngh yntarnatyonal)"
Chandigarh,Chandigarh Junction railway station,Transport,"ChandigarhJunctionrailwaystation, Chandygarh Jonctyon raylway statyon, CJrs"
Chandigarh,ISBT Sector-43,Transport,"ISBTSector-43, IS, ySBT Sactor-43"
Chandigarh,"Chandigarh Bus Terminus, Sector 17",Transport,"ChandigarhBusTerminus,Sector17, CBTS1, Chandygarh Bos Tarmynos, Sactor 17"
Chandigarh,Sukhna Lake Chandigarh,Nature,"SLC, Sokhna Laka Chandygarh, SukhnaLakeChandigarh"
Chandigarh,Zakir Hussain Rose Garden,Nature,"ZakirHussainRoseGarden, Zakyr Hossayn Rosa Gardan, ZHRG"
Chandigarh,Rock Garden,Nature,"RockGarden, RG, Rock Gardan"
Chandigarh,Japanese Garden,Nature,"JG, JapaneseGarden, Japanasa Gardan"
Chandigarh,Garden of Fragrance,Nature,"GoF, GardenofFragrance, Gardan of Fragranca"
Chandigarh,Chandigarh War Memorial park (Bougainvillea Park),Nature,"ChandigarhWarMemorialpark(BougainvilleaPark), CWMp(P, Chandygarh War Mamoryal park (Boogaynvyllaa Park)"
Chandigarh,Leisure Valley,Nature,"LV, Laysora Vallay, LeisureValley"
Chandigarh,Chandigarh Botanical Garden,Nature,"CBG, Chandygarh Botanycal Gardan, ChandigarhBotanicalGarden"
Chandigarh,Cactus Garden,Nature,"CG, CactusGarden, Cactos Gardan"
Chandigarh,Sukhna Wildlife Sanctuary,Nature,"Sokhna Wyldlyfa Sanctoary, SukhnaWildlifeSanctuary, SWS"
Chandigarh,Ghaggar River,Nature,"GhaggarRiver, Ghaggar Ryvar, GR"
Chandigarh,Mahendra Chaudhary Zoological Park,Nature,"Mahandra Chaodhary Zoologycal Park, MCZP, MahendraChaudharyZoologicalPark"
Chandigarh,Terraced Garden,Nature,"TerracedGarden, Tarracad Gardan, TG"
Chandigarh,Butterfly Park,Nature,"Bottarfly Park, ButterflyPark, BP"
Chandigarh,Shanti Kunj Park,Nature,"ShantiKunjPark, Shanty Konj Park, SKP"
Chandigarh,Patiala Ki Rao Reserved Forest,Nature,"PKRRF, PatialaKiRaoReservedForest, Patyala Ky Rao Rasarvad Forast"
Chandigarh,Chandigarh Bird Park,Nature,"CBP, Chandygarh Byrd Park, ChandigarhBirdPark"
Chandigarh,"Yadavindra Gardens, Pinjore",Nature,"YadavindraGardens,Pinjore, YGP, Yadavyndra Gardans, Pynjora"
Chandigarh,Dhanas Lake,Nature,"DL, DhanasLake, Dhanas Laka"
Chandigarh,Shri Mata Mansa Devi Temple,Spiritual sites,"ShriMataMansaDeviTemple, SMMDT, Shry Mata Mansa Davy Tampla"
Chandigarh,ISKCON Temple Chandigarh,Spiritual sites,"ISKCONTempleChandigarh, ySKCoN Tampla Chandygarh, ITC"
Chandigarh,"Gurudwara 10th Paatshahi Sri Nada Sahilb, Panchkula",Spiritual sites,"Gorodwara 10th Paatshahy Sry Nada Sahylb, Panchkola, G1PSNSP, Gurudwara 10th Paatshahi Sri Nada Sahib, Panchkula, Gurudwara10thPaatshahiSriNadaSahilb,Panchkula"
Chandigarh,Gurdwara Shri Guru Teg Bahadur Sahib,Spiritual sites,"GurdwaraShriGuruTegBahadurSahib, Gordwara Shry Goro Tag Bahador Sahyb, GSGTBS"
Chandigarh,"Gurdwara Singh Shaheedan, Sohana",Spiritual sites,"GurdwaraSinghShaheedan,Sohana, Gordwara Syngh Shahaadan, Sohana, GSSS"
Chandigarh,Shirdi Sai Samaj Sai Temple,Spiritual sites,"ShirdiSaiSamajSaiTemple, SSSST, Shyrdy Say Samaj Say Tampla"
Chandigarh,Christ The King Cathedral,Spiritual sites,"Chryst Tha Kyng Cathadral, ChristTheKingCathedral, CTKC"
Chandigarh,"Jama Masjid, Chandigarh",Spiritual sites,"Jama Masjid, JamaMasjid,Chandigarh, JMC, Jama Masjyd, Chandygarh"
Chandigarh,Shri Digambar Jain Mandir,Spiritual sites,"Shry Dygambar Jayn Mandyr, ShriDigambarJainMandir, SDJM"
Chandigarh,Fateh Burj - Baba Banda Singh Bahadur War Memorial,Museums and iconic institutions,"Fatah Borj - Baba Banda Syngh Bahador War Mamoryal, FatehBurj-BabaBandaSinghBahadurWarMemorial, FB-BBSBWM"
Chandigarh,Capitol Complex Tourist Center,Museums and iconic institutions,"Capytol Complax Tooryst Cantar, CapitolComplexTouristCenter, CCTC"
Chandigarh,"Government Museum and Art Gallery, History Museum, Architecture Museum",Museums and iconic institutions,"GovernmentMuseumandArtGallery,HistoryMuseum,ArchitectureMuseum, GMaAGHMAM, Government Museum and Art Gallery , History Museum, Architecture Museum, Govarnmant Mosaom and art Gallary, Hystory Mosaom, archytactora Mosaom"
Chandigarh,Indian Air Force Heritage Museum,Museums and iconic institutions,"yndyan ayr Forca Harytaga Mosaom, IndianAirForceHeritageMuseum, IAFHM"
Chandigarh,International Dolls Museum,Museums and iconic institutions,"IDM, InternationalDollsMuseum, yntarnatyonal Dolls Mosaom"
Chandigarh,Le Corbusier Centre,Museums and iconic institutions,"LeCorbusierCentre, La Corbosyar Cantra, LCC"
Chandigarh,Sector 17 Plaza,Market and Malls,"Sactor 17 Plaza, Sector17Plaza, S1P"
Chandigarh,Nexus Elante Mall,Market and Malls,"NEM, Naxos alanta Mall, NexusElanteMall"
Chandigarh,VR Punjab,Market and Malls,"VR Ponjab, VP, VRPunjab"
Chandigarh,DLF City Centre Mall,Market and Malls,"DLFCityCentreMall, DCCM, DLF Cyty Cantra Mall"
Chandigarh,Paras Downtown Square Mall,Market and Malls,"PDSM, Paras Downtown Sqoara Mall, ParasDowntownSquareMall"
Chennai,Chennai International Airport,Transport,"CIA, Channay yntarnatyonal ayrport, ChennaiInternationalAirport"
Chennai,Chennai Mofussil Bus Terminus (CMBT) Koyambedu,Transport,"CMBT(K, Channay Mofossyl Bos Tarmynos (CMBT) Koyambado, ChennaiMofussilBusTerminus(CMBT)Koyambedu"
Chennai,Egmore Railway Station,Transport,"EgmoreRailwayStation, agmora Raylway Statyon, ERS"
Chennai,Chennai Central Railway Station,Transport,"CCRS, ChennaiCentralRailwayStation, Channay Cantral Raylway Statyon"
Chennai,Madhavaram Mofussil Bus Terminus,Transport,"MadhavaramMofussilBusTerminus, Madhavaram Mofossyl Bos Tarmynos, MMBT"
Chennai,Mahabalipuram Shore Temple,Spiritual sites,"MahabalipuramShoreTemple, Mahabalyporam Shora Tampla, MST"
Chennai,Arulmigu Kanthasamy Temple Thiruporur,Spiritual sites,"AKTT, arolmygo Kanthasamy Tampla Thyroporor, ArulmiguKanthasamyTempleThiruporur"
Chennai,ISKCON Chennai,Spiritual sites,"ISKCONChennai, ySKCoN Channay, IC"
Chennai,Arulmigu Sri Varadharaja Perumal Temple,Spiritual sites,"ArulmiguSriVaradharajaPerumalTemple, arolmygo Sry Varadharaja Paromal Tampla, ASVPT"
Chennai,Arulmigu Thiruthani Murugan Temple,Spiritual sites,"ArulmiguThiruthaniMuruganTemple, ATMT, arolmygo Thyrothany Morogan Tampla"
Chennai,Sri Kamakshi Amman Temple mangadu,Spiritual sites,"SKATm, Sry Kamakshy amman Tampla mangado, SriKamakshiAmmanTemplemangadu"
Chennai,St. Thomas Mount,Spiritual sites,"St. Thomas Moont, St.ThomasMount, STM"
Chennai,Arulmigu Vadapalani Murugan Temple,Spiritual sites,"ArulmiguVadapalaniMuruganTemple, arolmygo Vadapalany Morogan Tampla, AVMT"
Chennai,Kandhakottam Temple,Spiritual sites,"KT, Kandhakottam Tampla, KandhakottamTemple"
Chennai,Walajah Big Mosque,Spiritual sites,"Walajah Byg Mosqoa, WBM, WalajahBigMosque"
Chennai,Arulmigu Sri Parthasarathy Perumal Temple Tiruvallikeni,Spiritual sites,"arolmygo Sry Parthasarathy Paromal Tampla Tyrovallykany, ASPPTT, ArulmiguSriParthasarathyPerumalTempleTiruvallikeni"
Chennai,San Thome Basilica,Spiritual sites,"San Thoma Basylyca, SanThomeBasilica, STB"
Chennai,Kapaleeshwarar Temple,Spiritual sites,"KT, Kapalaashwarar Tampla, KapaleeshwararTemple"
Chennai,Arulmigu Marundeeswarar Temple,Spiritual sites,"arolmygo Marondaaswarar Tampla, AMT, ArulmiguMarundeeswararTemple"
Chennai,"Shri Ashtalakshmi Temple, Chennai",Spiritual sites,"Shry ashtalakshmy Tampla, Channay, SATC, Shri Ashtalakshmi Temple, ShriAshtalakshmiTemple,Chennai"
Chennai,Annai Velankanni Shrine,Spiritual sites,"AVS, AnnaiVelankanniShrine, annay Valankanny Shryna"
Chennai,Marina Beach,Nature,"Maryna Baach, MarinaBeach, MB"
Chennai,Edward Elliot's Beach (Besant Nagar Beach),Nature,"adward allyot's Baach (Basant Nagar Baach), EdwardElliot'sBeach(BesantNagarBeach), EEB(NB"
Chennai,Thiruvalluvar Nagar Beach (Breezy Beach),Nature,"ThiruvalluvarNagarBeach(BreezyBeach), TNB(B, Thyrovallovar Nagar Baach (Braazy Baach)"
Chennai,Neelangarai Beach (Olive Beach),Nature,"NeelangaraiBeach(OliveBeach), NB(B, Naalangaray Baach (olyva Baach)"
Chennai,Kovalam Beach,Nature,"KB, KovalamBeach, Kovalam Baach, Kovalam Beach "
Chennai,The Madras Crocodile Bank Trust and Centre for Herpetology,Nature,"Tha Madras Crocodyla Bank Trost and Cantra for Harpatology, TheMadrasCrocodileBankTrustandCentreforHerpetology, TMCBTaCfH"
Chennai,Kovalam Creek (The Great Salt Lake),Nature,"KovalamCreek(TheGreatSaltLake), Kovalam Craak (Tha Graat Salt Laka), KC(GSL"
Chennai,Arignar Anna Zoological Park,Nature,"AAZP, ArignarAnnaZoologicalPark, arygnar anna Zoologycal Park"
Chennai,Vedanthangal Bird Sanctuary,Nature,"VBS, VedanthangalBirdSanctuary, Vadanthangal Byrd Sanctoary"
Chennai,Snake Park (Guindy National Park),Nature,"Snaka Park (Goyndy Natyonal Park), SP(NP, SnakePark(GuindyNationalPark)"
Chennai,Puzhal Lake (Red Hills Lake),Nature,"PL(HL, Pozhal Laka (Rad Hylls Laka), PuzhalLake(RedHillsLake)"
Chennai,Chembarambakkam Lake,Nature,"ChembarambakkamLake, CL, Chambarambakkam Laka"
Chennai,Adyar River,Nature,"AR, AdyarRiver, adyar Ryvar"
Chennai,Cooum River,Nature,"CooumRiver, Cooom Ryvar, CR"
Chennai,Adyar Eco-Park (Tholkappia Poonga),Nature,"AdyarEco-Park(TholkappiaPoonga), AE(P, adyar aco-Park (Tholkappya Poonga)"
Chennai,Semmozhi Poonga,Nature,"SP, SemmozhiPoonga, Sammozhy Poonga"
Chennai,Anna Nagar Tower Park,Nature,"AnnaNagarTowerPark, ANTP, anna Nagar Towar Park"
Chennai,Chennai Rail Museum,Art and museum,"CRM, ChennaiRailMuseum, Channay Rayl Mosaom"
Chennai,Dakshina Chitra Heritage Museum,Art and museum,"DakshinaChitraHeritageMuseum, DCHM, Dakshyna Chytra Harytaga Mosaom"
Chennai,Cholamandal Artists Village,Art and museum,"Cholamandal artysts Vyllaga, CAV, CholamandalArtistsVillage"
Chennai,Kalakshetra Foundation,Art and museum,"Kalakshatra Foondatyon, KF, KalakshetraFoundation"
Chennai,B.M. Birla Planetarium,Art and museum,"B.M. Byrla Planataryom, B.M.BirlaPlanetarium, BBP"
Chennai,Vivekananda House (Ice House),Art and museum,"VivekanandaHouse(IceHouse), VH(H, Vyvakananda Hoosa (yca Hoosa)"
Chennai,Fort St. George Museum,Art and museum,"FortSt.GeorgeMuseum, Fort St.George Museum, FSGM, Fort St. Gaorga Mosaom"
Chennai,Government Museum Chennai,Art and museum,"GMC, GovernmentMuseumChennai, Govarnmant Mosaom Channay"
Chennai,Lalit Kala Academy,Art and museum,"Lalyt Kala acadamy, LKA, LalitKalaAcademy"
Chennai,VGP Universal Kingdom,Amusement park,"VGPUniversalKingdom, VGP onyvarsal Kyngdom, VUK"
Chennai,MGM Dizzee World,Amusement park,"MGMDizzeeWorld, MGM Dyzzaa World, MDW"
Chennai,Queensland Amusement Park,Amusement park,"QueenslandAmusementPark, Qoaansland amosamant Park, QAP"
Delhi,Red Fort,Iconic structures,"RF, Rad Fort, RedFort"
Delhi,Rajghat (Mahatma Gandhi memorial),Iconic structures,"Rajghat(MahatmaGandhimemorial), R(Gm, Rajghat (Mahatma Gandhy mamoryal)"
Delhi,Agrasen ki Baoli,Iconic structures,"agrasan ky Baoly, AgrasenkiBaoli, AkB"
Delhi,Jantar Mantar,Iconic structures,"JantarMantar, JM"
Delhi,Rashtrapati Bhavan,Iconic structures,"RB, RashtrapatiBhavan, Rashtrapaty Bhavan"
Delhi,India Gate,Iconic structures,"IndiaGate, yndya Gata, IG"
Delhi,"Safdarjung Tomb, Delhi",Iconic structures,"SafdarjungTomb,Delhi, Safdarjong Tomb, Dalhy, STD"
Delhi,Humayun's Tomb,Iconic structures,"HT, Homayon's Tomb, Humayun’s Tomb, Humayun'sTomb"
Delhi,Qutub Minar,Iconic structures,"QutubMinar, Qotob Mynar, QM"
Delhi,Feroz Shah Kotla Fort,Iconic structures,"Faroz Shah Kotla Fort, FSKF, FerozShahKotlaFort"
Delhi,Hauz Khas Village complex (Deer park),Iconic structures,"HauzKhasVillagecomplex(Deerpark), HKVc(p, Haoz Khas Vyllaga complax (Daar park)"
Delhi,Purana Quila,Iconic structures,"PQ, PuranaQuila, Porana Qoyla"
Delhi,Tughlaqabad Fort,Iconic structures,"TughlaqabadFort, Toghlaqabad Fort, TF"
Delhi,Mehrauli Archaeological Park,Iconic structures,"MAP, MehrauliArchaeologicalPark, Mahraoly archaaologycal Park"
Delhi,Airport Terminal 1 (Indira Gandhi International),Transport,"ayrport Tarmynal 1 (yndyra Gandhy yntarnatyonal), AT1(GI, AirportTerminal1(IndiraGandhiInternational),IGI"
Delhi,Airport Terminal 3 (Indira Gandhi International),Transport,"AT3(GI, AirportTerminal3(IndiraGandhiInternational), ayrport Tarmynal 3 (yndyra Gandhy yntarnatyonal),IGI"
Delhi,Airport Terminal 2 (Indira Gandhi International),Transport,"ayrport Tarmynal 2 (yndyra Gandhy yntarnatyonal), AirportTerminal2(IndiraGandhiInternational), AT2(GI,IGI"
Delhi,Hazrat Nizamuddin,Transport,"HN, HazratNizamuddin, Hazrat Nyzamoddyn"
